,Name,Park,City,State,Country,Status,Material,Seating,Thrill,Make,Model,Length,Height,Drop,Speed,Inversions,VerticalAngle,Duration,G-Force
0,Big Apple,Cotaland,Austin,Texas,United States,Operating,Steel,Sit Down,Family,Levent Lunapark,Bruco Mela,452.8,,,,0,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,Boomerang,Six Flags St. Louis,Eureka,Missouri,United States,Operating,Steel,Sit Down,Extreme,Vekoma,Boomerang,935,116.5,,47,3,,1:48,5.2
22,Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,Steel,Sit Down,Extreme,Vekoma,Boomerang,935,116.5,,47,3,,1:48,5.2
23,Boomerang Coast to Coaster,Six Flags Darien Lake,Darien Center,New York,United States,Operating,Steel,Sit Down,Extreme,Vekoma,Boomerang,935,116.5,,47,3,,1:48,5.2
24,,,,,,,,,,,,,,,,,,,
